project_name,project_ticker,project_link,project_round,project_total_raised,project_pre_valuation,project_categories,project_roi,project_date,project_total_investors
NOTAI,NOTAI,https://icodrops.com/notai/,IDO on Eesee,1560000,5930000,Gaming,0.66,2024-09-11,6
RepoSwap,,https://icodrops.com/reposwap/,IDO on Spores,990000,,DeFi,,2024-09-09,3
Orderly Network,ORDER,https://icodrops.com/orderly-network/,GemPool on Kucoin,25000000,240700000,Perpetual,0.45,2024-08-26,31
MomoAI,MTOS,https://icodrops.com/momoai/,IDO on KingdomStarter,,15000000,Gaming,,2024-09-07,0
CLAPART,CLP,https://icodrops.com/clapart/,IDO on Spores,200000,,Social,,2024-09-04,0
MetaCene,MAC,https://icodrops.com/metacene/,IEO on Bybit,15000000,27860000,Gaming,0.47,2024-09-05,14
Quantlytica,QTLX,https://icodrops.com/quantlytica/,IDO on Eesee,1090000,15240000,DeFi,0.76,2024-09-03,6
The Open Network,TON,https://icodrops.com/the-open-network/,Binance Launchpool,658000000,28150000000,Blockchain,7.84,2024-08-15,10
Bull Run Bets,BRBC,https://icodrops.com/bull-run-bets/,IDO on Kommunitas,1070000,451000,Gambling,0.06,2024-08-30,5
Matrix One,MATRIX,https://icodrops.com/matrix-one/,IDO on Eesee,250000,16000000,Artificial Intellig…,,2024-08-29,9
SuperDapp,SUPR,https://icodrops.com/superdapp/,IEO on Gate.io,,30000000,Artificial Intellig…,,2024-08-29,0
Seedworld,WORLD,https://icodrops.com/seedworld/,IDO on Seedify,,30000000,Gaming,,2024-08-30,0
Dogs,DOGS,https://icodrops.com/dogs/,Binance Launchpool,,294140000,Meme,0.08,2024-08-23,0
Sharpe AI,SHARPE,https://icodrops.com/sharpe-ai/,Airdrop,1700000,50910000,Artificial Intellig…,2.53,2024-03-01,24
Weebs,WEEBS,https://icodrops.com/weebs/,IDO on Spores,1250000,401100,Gaming,0.04,2024-08-22,1
Babylon,,https://icodrops.com/babylon/,Testnet,88000000,,Infrastructure,,2024-03-01,22
Shinkai,KAI,https://icodrops.com/shinkai/,Incentivized Testnet,,,Artificial Intellig…,,2024-06-06,0
Lumia,ORN,https://icodrops.com/lumia/,Node Sale Round,,331100000,Layer-2,2.44,2024-07-18,0
TNA,BN,https://icodrops.com/tna/,GemPool on Kucoin,,21250000,Infrastructure,0.6,2024-08-15,3
Orion Protocol,ORN,https://icodrops.com/orion-protocol/,Node Sale Round,28790000,331100000,Layer-2,15.67,2024-07-18,2
Impact,IM,https://icodrops.com/impact/,IDO on Spores,480000,5000000,DeFi,,2024-08-09,1
Layer3,L3,https://icodrops.com/layer3/,Launchpool on Bybit,17500000,307400000,Social,0.95,2024-07-30,18
Mirada AI,MIRX,https://icodrops.com/mirada-ai/,IDO on Poolz,,10000000,Artificial Intellig…,,2024-08-05,0
DILL,,https://icodrops.com/dill/,Incentivized Testnet,,,Infrastructure,,2024-07-05,6
Vertus,VERT,https://icodrops.com/vertus/,Incentivized Activities,,,Mining,,2024-07-05,0
Matr1x,MAX,https://icodrops.com/matr1x/,OKX Jumpstart,20000000,162640000,Gaming,0.97,2024-07-29,11
Voi Network,,https://icodrops.com/voi-network/,Community Airdrop and Incentivised Testnet,,,Blockchain infrastr…,,2024-05-01,1
Jupiter,JUP,https://icodrops.com/jupiter/,Retrodrop,,,Exchange,,2024-01-31,0
Injex Finance,INJX,https://icodrops.com/injex-finance/,Community Round,553000,30000000,DeFi,,2024-07-01,0
WienerAI,WAI,https://icodrops.com/wienerai/,Presale,7230000,50090000,Trading Bot,,2024-09-01,0
Rage Trade,RAGE,https://icodrops.com/rage-trade/,LBP on Fjord,6000000,10430000,Yield Aggregator,0.35,2024-07-31,20
Ethora,ETR,https://icodrops.com/ethora/,IDO on Solanium,,10000000,DeFi,,2024-07-29,0
ZkLink,ZKL,https://icodrops.com/zklink/,Launchpool on Bybit,23190000,132500000,Multi-Chain Platform,0.89,2024-07-22,19
zkCross Network,CROSS,https://icodrops.com/zkcross-network/,Airdrop,3020000,52500000,DeFi,,2024-05-24,4
Revolon,RPM,https://icodrops.com/revolon/,IDO on Spores,,10000000,GameFi,,2024-07-22,0
Blocklords,LRDS,https://icodrops.com/blocklords/,IEO on Gate.io,15070000,60000000,Gaming,,2024-07-23,22
Tanuki,TANUPAD,https://icodrops.com/tanuki/,IDO on KingdomStarter,504180,14000000,Launchpad,,2024-07-22,0
Myth,MYTHX,https://icodrops.com/myth/,IDO on Spores,,16000000,GameFi,,2024-07-19,0
Dabcat,DABCAT,https://icodrops.com/dabcat/,Presale,47000,1000000,DeFi,,2024-06-03,0
Pixelverse,PIXFI,https://icodrops.com/pixelverse-2/,Play to Earn,7500000,15110000,Gaming,0.09,2024-07-18,15
Sanctum,CLOUD,https://icodrops.com/sanctum/,LFG,13600000,227300000,DeFi,1.51,2024-07-16,27
Waterfall Protocol,,https://icodrops.com/waterfall-protocol/,IEO on Gate.io,13600000,,Infrastructure,0.12,2024-07-15,4
zkSync,ZK,https://icodrops.com/zksync/,Additional Airdrop Pool,458000000,4110000000,Layer-2,0.63,2024-06-17,23
LAOS,LAOS,https://icodrops.com/laos/,Presale,,80000000,Blockchain,,2024-07-11,0
eTukTuk,TUK,https://icodrops.com/etuktuk/,Presale,3530000,52500000,Investment,,2024-02-01,0
Astroon,AST,https://icodrops.com/astroon/,IDO on KingdomStarter,,6500000,Gaming,,2024-07-05,0
Talent Protocol,TAL,https://icodrops.com/talent-protocol/,Community Round,1700000,65000000,Platform,,2024-07-05,3
SatoshiDEX,SATX,https://icodrops.com/satoshidex/,Pre-sale 2,12860000,16800000,DEX,,2024-02-29,0
Zeta Markets,ZEX,https://icodrops.com/zeta-markets/,Retrodrop,13500000,79290000,DeFi,0.3,2024-06-27,24
Well3,WELL,https://icodrops.com/well3/,Airdrop,15000000,17110000,DePIN,0.17,2024-07-03,3
Promodex,PROMO,https://icodrops.com/promodex/,IDO on Spores,918000,22500000,Blockchain Service,,2024-06-29,0
Natix Network,NTXT,https://icodrops.com/natix-network/,IEO on Gate.io,13100000,119110000,DePIN,1.19,2024-06-30,22
Particle,PTC,https://icodrops.com/particle/,IEO on Gate.io,,4880000,DeFi,0.2,2024-06-30,22
Winee3,WNE,https://icodrops.com/winee3/,Presale,930240,18000000,Social,,2024-07-01,0
Cryptopia,TOS,https://icodrops.com/cryptopia/,IEO on Gate.io,2520000,35000000,Gaming,,2024-06-29,0
CrossFi,XFI,https://icodrops.com/crossfi/,Incentivized Activities,,227100000,Financial ecosystem,0.56,2024-03-16,0
xRaise,RAISE,https://icodrops.com/xraise/,IDO on xRaise,232550,15000000,Wallet,,2024-06-26,0
BorpaToken,BORPA,https://icodrops.com/borpatoken/,Launchpool,1340000,123100,Meme,0.01,2024-06-19,0
Nillion,NIL,https://icodrops.com/nillion/,Community Round,45000000,400000000,Network,,2024-06-19,12
Minterest,MINTY,https://icodrops.com/minterest/,IDO on EnjinStarter,12020000,148280000,Lending,,2024-06-20,24
Kinetix,KAI,https://icodrops.com/kinetix/,IDO on Eclipse Fi,,15000000,DeFi,,2024-06-04,2
LayerZero,ZRO,https://icodrops.com/layerzero/,Retrodrop,263300000,5240000000,Blockchain Service,1.18,2022-06-20,46
Base Mafia,MAFIA,https://icodrops.com/base-mafia/,IDO on KingdomStarter,400000,12000000,memecoin,,2024-06-19,0
Lista DAO (prev. Helio Protocol),LISTA,https://icodrops.com/helio-protocol/,Binance Megadrop,10100000,418400000,Lending Platform,2.1,2024-05-30,1
Solar Dex,SOLAR,https://icodrops.com/solar-dex/,Public Sale(IDO on IXIRPAD),75000,45000000,DeFi,,2024-06-17,0
Artfi,ARTFI,https://icodrops.com/artfi/,IDO on Bitget,3260000,14000000,Web 3.0,0.4,2024-06-16,3
Legion Ventures,LEGION,https://icodrops.com/legion-ventures/,IDO on Finceptor,2100000,10000000,DeFi,0.06,2024-06-13,27
Asymmetry Finance,ASF,https://icodrops.com/asymmetry-finance/,IDO on Paid Network,3000000,60180000,DeFi,,2024-06-12,4
Megafans,MBUCKS,https://icodrops.com/megafans/,IDO on EnjinStarter,1520000,14000000,Gaming,,2024-06-10,0
0xGen,,https://icodrops.com/0xgen/,IEO on Gate.io,40000,189000,DeFi,0.01,2024-06-12,5
rkey,RKEY,https://icodrops.com/rkey/,IDO on KingdomStarter,12500,2000000,Real Estate,,2024-06-12,0
AgoraHub,AGA,https://icodrops.com/agorahub/,IDO on BullPerks,1850000,40000000,DeFi,,2024-06-11,0
Cookie3,COOKIE,https://icodrops.com/cookie3/,IDO on Polkastarter,12570000,391200000,Social,13.39,2024-06-12,17
YOLO Games,YOLO,https://icodrops.com/yolo-games/,Launchpool,,12100000,Blast Ecosystem,0.17,2024-06-07,0
Petoshi,PETOSHI,https://icodrops.com/petoshi/,IDO on GameFi,2800000,127100,DeFi,0.01,2024-06-11,0
io.net,IO,https://icodrops.com/io-net/,Binance Launchpool,30000000,2400000000,Artificial Intellig…,0.8,2024-06-07,20
Aark Digital,AARK,https://icodrops.com/aark-digital/,IDO on Ape Terminal,6000000,2880000,Perpetual,0.08,2024-05-31,10
Bondex,BDXN,https://icodrops.com/bondex/,Incentive Activities,10500000,80000000,Web 3.0,,2023-12-01,4
Carv,CARV,https://icodrops.com/carv/,Node Sale Round,44900000,892000000,Gaming,4.46,2024-06-05,22
Ultiverse,ULTI,https://icodrops.com/ultiverse/,OKX Jumpstart,13500000,88870000,Gaming,0.07,2024-06-03,13
Taiko,TAIKO,https://icodrops.com/taiko/,IDO on Bybit,37000000,1660000000,Layer-2,0.83,2024-05-29,21
Tap Protocol,TAP,https://icodrops.com/tap-protocol/,Public Sale on CoinList,14530000,61530000,Infrastructure,0.82,2024-05-29,10
Nostra,NSTR,https://icodrops.com/nostra/,Points Farming,,9220000,DeFi,0.41,2024-06-03,0
NuLINK,NLK,https://icodrops.com/nulink/,BurningDrop on KuCoin,11100000,18740000,Zero Knowledge,0.11,2024-05-13,21
Saakuru Protocol,SKR,https://icodrops.com/saakuru-protocol/,IDO on Decubate,25860000,398000000,Metaverse,0.4,2024-05-28,28
MON Protocol,MON,https://icodrops.com/mon-protocol/,Launchpool,6150000,113000000,Gaming,1.14,2024-05-20,18
Common Wealth,WLTH,https://icodrops.com/common-wealth/,Public Sale,9000000,60000000,Investment Platform,,2024-05-22,13
Laika AI,LKI,https://icodrops.com/laika-ai/,IDO on Ape Terminal,1670000,7000000,Analytics,,2024-05-09,3
Multipool,MUL,https://icodrops.com/multipool/,LBP on Fjord,650000,515500,DEX,0.06,2024-05-21,2
Arrow Markets,ARROW,https://icodrops.com/arrow-markets/,IDO on Polkastarter,5650000,,DeFi,0.19,2024-05-21,10
Notcoin,NOT,https://icodrops.com/notcoin/,OKX Jumpstart,,660180000,Meme,0.94,2024-05-13,0
Peaq,PEAQ,https://icodrops.com/peaq/,Public Sale on CoinList,24040000,2440000000,Blockchain,7.32,2024-05-09,27
Cross The Ages,CTA,https://icodrops.com/cross-the-ages/,IDO on Elixir Games,16000000,11650000,Gaming,0.09,2024-05-13,12
Pacmoon,PAC,https://icodrops.com/pacmoon/,Airdrop,,,Memes,,2024-06-01,0
Lifeform,LFT,https://icodrops.com/lifeform/,IEO on Kucoin,5000000,13050000,Blockchain Service,0.44,2024-05-06,9
Engines of Fury,FURY,https://icodrops.com/engines-of-fury/,IDO on Ape Terminal,5800000,30000000,Advertising,,2024-05-07,14
Codyfight,CTOK,https://icodrops.com/codyfight/,IDO on DAO Maker,2440000,20320000,Gaming,0.5,2024-05-07,14
Eigenpie SubDAO,EGP,https://icodrops.com/eigenpie-subdao/,Airdrop,,32060000,DeFi,,2024-05-13,11
BounceBit,BB,https://icodrops.com/bouncebit/,Binance Megadrop,6000000,885150000,Blockchain,1.2,2024-04-26,27
Imaginary Ones,BUBBLE,https://icodrops.com/imaginary-ones/,Airdrop,,33060000,Social,0.14,2024-05-13,10
Morpheus,MOR,https://icodrops.com/morpheus/,Fair Launch,,,DeFi,,2024-02-08,0
Aethir,ATH,https://icodrops.com/aethir/,Node Sale Round,162800000,2660000000,DePIN,0.58,2024-03-18,13
Mocaverse,MOCA,https://icodrops.com/mocaverse/,Public Sale,46890000,2330000000,NFT,6.61,2024-04-25,16
Capx,CAPX,https://icodrops.com/capx/,Incentivized Activities,,,Platform,,2024-02-16,1
XSwap,XSWAP,https://icodrops.com/xswap/,Incentive Activities,900000,36700000,DeFi,2.12,2024-05-01,14
Kroma,KRO,https://icodrops.com/kroma/,NFT Sale,,48750000,Infrastructure,0.89,2024-03-01,14
Mode,,https://icodrops.com/mode/,Airdrop 1,5300000,423700000,Layer-2,0.3,2024-01-25,1
Runecoin,RUNECOIN,https://icodrops.com/runecoin/,OKX Jumpstart,,39940000,Fungible Token,0.11,2024-04-29,0
Gull Network,GULL,https://icodrops.com/gull-network/,Testnet Airdrop,1600000,3260000,Infrastructure,0.2,2024-04-22,11
Meson.Network,MSN,https://icodrops.com/mesonnetwork/,OKX Jumpstart,12250000,8620000,DePIN,0.05,2024-04-26,16
Umoja,UMJA,https://icodrops.com/umoja/,IDO on Ignition (Paid Network,4000000,200000000,DeFi,,2024-04-24,13
